PERÍODO ;HORAS EXTRAS
02/2018;5,88
03/2018;5,88
04/2018;5,88
05/2018;5,88
06/2018;5,88
07/2018;5,88
08/2018;5,88
09/2018;5,88
10/2018;5,88
11/2018;5,88
12/2018;5,88
01/2019;0
02/2019;0
03/2019;0
04/2019;0
05/2019;9
06/2019;0
07/2019;0
08/2019;0
09/2019;0
10/2019;0
11/2019;0
12/2019;0
01/2020;0
02/2020;0
03/2020;0
04/2020;1,26
05/2020;2,41
06/2020;6,17
07/2020;0
08/2020;5
09/2020;2,15
10/2020;5
11/2020;2,42
12/2020;7
01/2021;0
02/2021;0
03/2021;3,3
04/2021;6,49
05/2021;0
06/2021;3
07/2021;7,34
08/2021;0
09/2021;0
10/2021;20
11/2021;12
12/2021;0
01/2022;0
02/2022;0
03/2022;9
04/2022;4
05/2022;8,5
06/2022;7,5
07/2022;6
08/2022;6,31
09/2022;8,32
10/2022;14,17
11/2022;6
12/2022;6,57
01/2023;16
02/2023;0
03/2023;64,44
04/2023;14
05/2023;3
06/2023;0
07/2023;9
08/2023;0
09/2023;2
10/2023;3,55
11/2023;9
12/2023;3,32
01/2024;0
02/2024;0
03/2024;0
04/2024;13,27
05/2024;0
06/2024;14,3
07/2024;0
08/2024;0
09/2024;9,56
10/2024;5,26
11/2024;5,21
12/2024;12
01/2025;0
02/2025;0
03/2025;14,05
04/2025;10,56
05/2025;41,42
06/2025;14,33
